Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2008-05-26,BAJAJ-AUTO,EQ,2101.05,898.0,898.0,551.35,600.25,604.75,624.61,3972485,248124475790000.0,,1202933.0,0.3028
2008-05-27,BAJAJ-AUTO,EQ,604.75,624.7,639.0,580.3,595.5,593.15,606.43,1751063,106190068700000.0,,369389.0,0.211
2008-05-28,BAJAJ-AUTO,EQ,593.15,561.65,621.9,561.65,605.1,608.15,608.75,1652355,100587748930000.0,,898602.0,0.5438000000000001
2008-05-29,BAJAJ-AUTO,EQ,608.15,619.4,619.4,576.0,600.0,599.45,600.98,669269,40221651265000.0,,449951.0,0.6723
2008-05-30,BAJAJ-AUTO,EQ,599.45,605.4,607.0,538.0,576.25,571.7,565.55,1262117,71379372060000.0,,936432.0,0.742
2008-06-02,BAJAJ-AUTO,EQ,571.7,605.5,615.0,570.7,573.0,580.8,598.3,206640,12363260330000.0,,69415.0,0.3359
2008-06-03,BAJAJ-AUTO,EQ,580.8,596.0,602.0,555.15,577.0,579.7,575.83,157283,9056802440000.0,,106984.0,0.6802
2008-06-04,BAJAJ-AUTO,EQ,579.7,597.85,597.85,547.5,550.0,552.1,563.64,326450,18399934815000.0,,238952.0,0.7320000000000001
2008-06-05,BAJAJ-AUTO,EQ,552.1,553.0,588.8,532.4,548.0,562.4,560.7,238915,13396034935000.0,,140638.0,0.5887
2008-06-06,BAJAJ-AUTO,EQ,562.4,567.0,574.7,544.4,572.0,568.8,564.38,73920,4171902765000.0,,35676.0,0.4826
2008-06-09,BAJAJ-AUTO,EQ,568.8,575.0,575.0,524.0,552.0,548.8,545.82,321199,17531756775000.0,,267438.0,0.8326000000000001
2008-06-10,BAJAJ-AUTO,EQ,548.8,575.5,575.5,547.0,550.0,550.4,551.58,58118,3205674290000.0,,42432.0,0.7301000000000001
2008-06-11,BAJAJ-AUTO,EQ,550.4,560.0,560.0,528.0,528.2,530.5,536.09,87793,4706466500000.0,,55519.0,0.6324000000000001
2008-06-12,BAJAJ-AUTO,EQ,530.5,511.0,527.0,510.7,520.0,519.45,518.85,50729,2632060805000.0,,35708.0,0.7039
2008-06-13,BAJAJ-AUTO,EQ,519.45,514.25,525.0,501.2,508.0,505.9,508.57,123934,6302918305000.0,,98980.0,0.7987000000000001
2008-06-16,BAJAJ-AUTO,EQ,505.9,510.0,518.0,489.45,491.8,494.65,503.45,61592,3100824475000.0,,38141.0,0.6193
2008-06-17,BAJAJ-AUTO,EQ,494.65,490.45,510.0,482.6,505.0,506.7,500.42,71476,3576794370000.0005,,27522.0,0.3851
2008-06-18,BAJAJ-AUTO,EQ,506.7,510.1,531.0,500.0,514.95,516.45,514.41,105505,5427296775000.0,,52716.0,0.4997
2008-06-19,BAJAJ-AUTO,EQ,516.45,500.2,527.0,500.2,507.65,512.55,516.94,140483,7262152550000.0,,93934.0,0.6687000000000001
2008-06-20,BAJAJ-AUTO,EQ,512.55,507.0,519.0,493.6,515.0,512.1,506.49,76656,3882532540000.0,,53866.0,0.7027
2008-06-23,BAJAJ-AUTO,EQ,512.1,500.0,514.9,499.0,499.0,502.3,503.85,89888,4529026680000.0,,64252.0,0.7148000000000001
2008-06-24,BAJAJ-AUTO,EQ,502.3,495.0,506.0,471.15,485.0,479.0,496.3,174131,8642155609999.999,,97521.0,0.56
2008-06-25,BAJAJ-AUTO,EQ,479.0,450.0,502.0,450.0,493.15,497.3,489.76,72533,3552411200000.0,,38325.0,0.5284000000000001
2008-06-26,BAJAJ-AUTO,EQ,497.3,519.9,519.9,469.05,491.3,488.95,480.09,185234,8892902040000.0,,134786.0,0.7277
2008-06-27,BAJAJ-AUTO,EQ,488.95,465.9,476.85,435.0,440.1,453.95,452.97,260609,11804778730000.0,,196212.0,0.7529000000000001
2008-06-30,BAJAJ-AUTO,EQ,453.95,454.0,459.95,445.35,451.0,450.35,452.65,115006,5205781735000.0,,101165.0,0.8795999999999999
2008-07-01,BAJAJ-AUTO,EQ,450.35,450.0,457.0,433.0,449.0,447.1,446.16,170197,7593579305000.0,,139828.0,0.8216
2008-07-02,BAJAJ-AUTO,EQ,447.1,430.15,457.95,430.15,448.0,453.5,449.32,245296,11021532370000.0,,229636.0,0.9362
2008-07-03,BAJAJ-AUTO,EQ,453.5,445.0,448.0,390.15,410.0,408.6,428.09,308168,13192495670000.0,,238013.0,0.7723000000000001
2008-07-04,BAJAJ-AUTO,EQ,408.6,403.5,433.0,401.0,420.0,421.0,420.56,62087,2611153910000.0,,38919.0,0.6268
2008-07-07,BAJAJ-AUTO,EQ,421.0,425.0,441.0,425.0,437.0,435.5,434.46,130708,5678764655000.0,,103408.0,0.7911
2008-07-08,BAJAJ-AUTO,EQ,435.5,418.1,439.9,414.0,439.8,434.5,424.58,262122,11129097175000.0,,255289.0,0.9739
2008-07-09,BAJAJ-AUTO,EQ,434.5,446.0,456.9,440.0,452.0,451.75,451.6,104747,4730369190000.0,,83217.0,0.7945000000000001
2008-07-10,BAJAJ-AUTO,EQ,451.75,450.0,532.0,441.05,530.0,498.45,468.17,247021,11564763960000.0,,81634.0,0.3304999999999999
2008-07-11,BAJAJ-AUTO,EQ,498.45,508.0,508.1,482.0,500.0,499.95,499.51,135338,6760210130000.0,,92975.0,0.687
2008-07-14,BAJAJ-AUTO,EQ,499.95,515.0,515.0,481.0,502.0,501.65,495.97,110414,5476237170000.0,,84283.0,0.7633
2008-07-15,BAJAJ-AUTO,EQ,501.65,480.35,497.8,477.0,484.95,479.85,485.46,44758,2172811425000.0,,32464.0,0.7253000000000001
2008-07-16,BAJAJ-AUTO,EQ,479.85,500.0,500.0,444.15,452.3,455.0,450.71,412815,18606080945000.0,,382209.0,0.9259
2008-07-17,BAJAJ-AUTO,EQ,455.0,475.0,484.95,461.0,465.0,467.6,465.34,124802,5807501775000.0,,110497.0,0.8854000000000001
2008-07-18,BAJAJ-AUTO,EQ,467.6,461.0,473.0,455.0,464.0,464.1,465.0,71613,3330028670000.0,,62863.0,0.8778
2008-07-21,BAJAJ-AUTO,EQ,464.1,474.0,505.0,470.0,505.0,498.9,491.02,323713,15895044910000.0,,259968.0,0.8031
2008-07-22,BAJAJ-AUTO,EQ,498.9,490.15,504.0,485.05,495.0,495.05,495.38,25042,1240530495000.0,,9704.0,0.3875
2008-07-23,BAJAJ-AUTO,EQ,495.05,514.15,529.0,498.0,528.95,519.0,511.97,116969,5988416765000.0,,74185.0,0.6342
2008-07-24,BAJAJ-AUTO,EQ,519.0,506.2,534.0,506.2,521.5,520.65,521.24,26647,1388960635000.0,,13623.0,0.5112
2008-07-25,BAJAJ-AUTO,EQ,520.65,503.25,525.0,503.25,511.25,509.95,516.79,54204,2801211415000.0,,46450.0,0.8569
2008-07-28,BAJAJ-AUTO,EQ,509.95,500.25,524.7,500.25,520.0,515.55,514.8,30877,1589538535000.0,,26853.0,0.8697
2008-07-29,BAJAJ-AUTO,EQ,515.55,506.0,515.0,501.35,510.0,509.4,508.48,9914,504106860000.0,,5833.0,0.5884
2008-07-30,BAJAJ-AUTO,EQ,509.4,483.95,524.95,483.95,520.0,519.75,515.57,8670,446995380000.0,,2895.0,0.3339
2008-07-31,BAJAJ-AUTO,EQ,519.75,501.15,539.0,494.6,539.0,533.7,527.66,44391,2342330340000.0,,18745.0,0.4222999999999999
